Running "size_report:before" (size_report) task

~~~~~~~~~~~
Size report
~~~~~~~~~~~

Filename                                                                                                Size          %
3.9custom/dojox/grid/enhanced/resources/tundra/EnhancedGrid.css                                       33.9 KiB     0.3%
3.9custom/dojox/grid/enhanced/resources/tundraEnhancedGrid.css                                        33.8 KiB     0.3%
3.9custom/dojox/grid/enhanced/resources/claro/EnhancedGrid.css                                        33.5 KiB     0.3%
3.9custom/dojox/mobile/themes/iphone/iphone-app-compat.css                                            33.5 KiB     0.3%
3.9custom/dojox/grid/enhanced/resources/claroEnhancedGrid.css                                         33.4 KiB     0.3%
3.9custom/esri/images/symbol/sfs/sfs.psd                                                              33.0 KiB     0.3%
3.9custom/dojox/mobile/themes/iphone/iphone-compat.css                                                33.0 KiB     0.3%
3.9custom/dijit/themes/dijit.css                                                                      32.1 KiB     0.3%
3.9custom/dojox/mobile/themes/android/android-app-compat.css                                          32.0 KiB     0.2%
3.9custom/dojox/mobile/themes/android/android-compat.css                                              31.5 KiB     0.2%
3.9custom/dojox/analytics/logger/JSON.php                                                             31.3 KiB     0.2%
3.9custom/dojox/mobile/themes/blackberry/blackberry-compat.css                                        30.9 KiB     0.2%
3.9custom/esri/dijit/geoenrichment/themes/common/images/smallBusy.gif                                 30.2 KiB     0.2%
3.9custom/esri/dijit/geoenrichment/themes/light/images/smallBusy.gif                                  30.2 KiB     0.2%
3.9custom/dojox/mobile/themes/custom/custom-compat.css                                                30.1 KiB     0.2%
3.9custom/dojox/mobile/themes/holodark/android-compat.css                                             29.3 KiB     0.2%
3.9custom/esri/dijit/geoenrichment/themes/light/images/OneVar.png                                     28.7 KiB     0.2%
3.9custom/dojox/mobile/themes/common/domButtons.css                                                   28.2 KiB     0.2%
3.9custom/dojox/mobile/themes/common/transitions.css                                                  26.8 KiB     0.2%
3.9custom/dojox/storage/storage_dialog.swf                                                            26.3 KiB     0.2%
3.9custom/dojox/mobile/themes/windows/base.css                                                        25.1 KiB     0.2%
3.9custom/dojox/rpc/SMDLibrary/yahoo.smd                                                              25.1 KiB     0.2%
3.9custom/esri/dijit/geoenrichment/themes/common/main.css                                             24.8 KiB     0.2%
3.9custom/dojox/mobile/themes/windows/variables.less                                                  23.6 KiB     0.2%
3.9custom/dijit/themes/claro/variables.less                                                           23.1 KiB     0.2%
3.9custom/dojox/mobile/themes/custom/variables.less                                                   23.0 KiB     0.2%
3.9custom/dojox/mobile/themes/iphone/variables.less                                                   23.0 KiB     0.2%
3.9custom/dojox/mobile/themes/iphone/base.css                                                         23.0 KiB     0.2%
3.9custom/esri/dijit/css/Directions.css                                                               21.9 KiB     0.2%
3.9custom/dojox/mobile/themes/holodark/variables.less                                                 20.8 KiB     0.2%
3.9custom/dojox/mobile/themes/android/variables.less                                                  20.8 KiB     0.2%
3.9custom/dojox/mobile/themes/blackberry/variables.less                                               19.7 KiB     0.2%
3.9custom/dojox/calc/_ExecutorIframe.html                                                             19.6 KiB     0.2%
3.9custom/dojox/drawing/resources/CrazyTruck.jpg                                                      19.5 KiB     0.2%
3.9custom/dojox/mobile/themes/android/base.css                                                        18.8 KiB     0.1%
3.9custom/dojox/mobile/themes/custom/base.css                                                         18.7 KiB     0.1%
3.9custom/dojox/mobile/themes/blackberry/base.css                                                     18.7 KiB     0.1%
3.9custom/esri/dijit/images/soria.infowindow.png                                                      17.6 KiB     0.1%
3.9custom/dojox/mobile/themes/holodark/base.css                                                       17.3 KiB     0.1%
3.9custom/esri/dijit/images/claro.infowindow.png                                                      15.9 KiB     0.1%
3.9custom/dojox/grid/enhanced/resources/EnhancedGrid.css                                              15.8 KiB     0.1%
3.9custom/esri/dijit/images/tundra.infowindow.png                                                     15.6 KiB     0.1%
3.9custom/dojox/grid/resources/claroGrid.css                                                          14.9 KiB     0.1%
3.9custom/esri/dijit/images/infowindow.png                                                            14.7 KiB     0.1%
3.9custom/dojox/grid/resources/tundraGrid.css                                                         12.8 KiB     0.1%
3.9custom/esri/dijit/images/nihilo.infowindow.png                                                     12.8 KiB     0.1%
3.9custom/dijit/themes/claro/layout/TabContainer.css                                                  12.8 KiB     0.1%
3.9custom/dojox/form/resources/fileuploader.swf                                                       12.5 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry49.png                                              12.4 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry38.png                                              12.4 KiB     0.1%
3.9custom/dojox/form/resources/FilePickerTextBox.css                                                  12.4 KiB     0.1%
3.9custom/dojox/grid/resources/soriaGrid.css                                                          12.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry39.png                                              12.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry47.png                                              12.1 KiB     0.1%
3.9custom/dojox/grid/resources/nihiloGrid.css                                                         12.1 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry32.png                                              12.1 KiB     0.1%
3.9custom/dijit/themes/claro/form/Slider.less                                                         12.0 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/themes/common/images/AgePyramid.png                                12.0 KiB     0.1%
3.9custom/dojox/mobile/themes/common/transitions/cube.css                                             11.9 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry36.png                                              11.9 KiB     0.1%
3.9custom/dojox/storage/Storage.as                                                                    11.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry22.png                                              11.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry55.png                                              11.7 KiB     0.1%
3.9custom/dojox/mobile/themes/windows/base-compat.css                                                 11.7 KiB     0.1%
3.9custom/dojox/calc/Readme.txt                                                                       11.6 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry17.png                                              11.6 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry42.png                                              11.5 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/themes/common/images/RaceAndEthnicity.png                          11.4 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry59.png                                              11.3 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry19.png                                              11.3 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry44.png                                              11.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry08.png                                              11.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry02.png                                              11.1 KiB     0.1%
3.9custom/dijit/themes/claro/layout/TabContainer.less                                                 11.1 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry11.png                                              11.1 KiB     0.1%
3.9custom/dojox/form/resources/uploader.swf                                                           11.1 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry58.png                                              11.0 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry60.png                                              11.0 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry46.png                                              10.9 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry26.png                                              10.9 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry21.png                                              10.9 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry50.png                                              10.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry10.png                                              10.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry43.png                                              10.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry56.png                                              10.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry33.png                                              10.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry28.png                                              10.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry14.png                                              10.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry07.png                                              10.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry25.png                                              10.6 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry23.png                                              10.5 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry24.png                                              10.5 KiB     0.1%
3.9custom/dojox/widget/ColorPicker/images/underlay.png                                                10.5 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry64.png                                              10.5 KiB     0.1%
3.9custom/dijit/themes/claro/claro_rtl.css                                                            10.5 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry61.png                                              10.5 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry04.png                                              10.4 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry20.png                                              10.4 KiB     0.1%
3.9custom/dojox/mobile/themes/iphone/base-compat.css                                                  10.4 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry30.png                                              10.4 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry48.png                                              10.4 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/themes/common/images/RelatedVariables.png                          10.4 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry57.png                                              10.3 KiB     0.1%
3.9custom/dojox/av/resources/video.swf                                                                10.3 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry29.png                                              10.3 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry37.png                                              10.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry40.png                                              10.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry34.png                                              10.2 KiB     0.1%
3.9custom/dojox/gantt/resources/gantt.css                                                             10.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry51.png                                              10.2 KiB     0.1%
3.9custom/dojox/io/proxy/xip_server.html                                                              10.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry12.png                                              10.1 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry15.png                                              10.1 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry16.png                                              10.1 KiB     0.1%
3.9custom/dojox/mobile/themes/common/FormLayout.less                                                  10.0 KiB     0.1%
3.9custom/dojox/mobile/themes/common/transitions/cube.less                                            10.0 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry27.png                                              10.0 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry53.png                                              10.0 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry13.png                                              10.0 KiB     0.1%
3.9custom/dojox/mobile/themes/iphone/TabBar.css                                                        9.9 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry65.png                                               9.9 KiB     0.1%
3.9custom/dojox/mobile/themes/blackberry/base-compat.css                                               9.9 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry45.png                                               9.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry52.png                                               9.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry05.png                                               9.8 KiB     0.1%
3.9custom/dojox/mobile/themes/android/base-compat.css                                                  9.8 KiB     0.1%
3.9custom/dojox/mobile/themes/common/css3.less                                                         9.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry35.png                                               9.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry54.png                                               9.7 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry09.png                                               9.6 KiB     0.1%
3.9custom/dojox/mobile/themes/custom/base-compat.css                                                   9.6 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry01.png                                               9.6 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry62.png                                               9.4 KiB     0.1%
3.9custom/dojox/rpc/SMDLibrary/geonames.smd                                                            9.3 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry06.png                                               9.3 KiB     0.1%
3.9custom/dijit/themes/claro/Calendar.less                                                             9.3 KiB     0.1%
3.9custom/dojo/selector/lite.js                                                                        9.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry03.png                                               9.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry18.png                                               9.2 KiB     0.1%
3.9custom/dijit/themes/nihilo/layout/TabContainer.css                                                  9.2 KiB     0.1%
3.9custom/dojox/mobile/themes/windows/IconContainer.css                                                9.2 KiB     0.1%
3.9custom/esri/dijit/css/Geocoder.css                                                                  9.1 KiB     0.1%
3.9custom/dojox/mobile/themes/holodark/base-compat.css                                                 9.1 KiB     0.1%
3.9custom/dijit/themes/soria/images/progressBarAnim.gif                                                9.1 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry31.png                                               9.1 KiB     0.1%
3.9custom/dojox/image/resources/images/buttons.png                                                     9.0 KiB     0.1%
3.9custom/dijit/themes/claro/form/Slider.css                                                           9.0 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry41.png                                               9.0 KiB     0.1%
3.9custom/dojox/editor/plugins/resources/images/busy.gif                                               8.8 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/images/tapestry63.png                                               8.7 KiB     0.1%
3.9custom/dojox/mobile/themes/windows/FormLayout.css                                                   8.7 KiB     0.1%
3.9custom/dojox/mobile/themes/iphone/FormLayout.css                                                    8.4 KiB     0.1%
3.9custom/dojox/mobile/themes/holodark/FormLayout.css                                                  8.4 KiB     0.1%
3.9custom/dojox/mobile/themes/custom/FormLayout.css                                                    8.4 KiB     0.1%
3.9custom/dojox/mobile/themes/android/FormLayout.css                                                   8.4 KiB     0.1%
3.9custom/dojox/mobile/themes/blackberry/FormLayout.css                                                8.4 KiB     0.1%
3.9custom/dojox/mobile/themes/windows/Opener.css                                                       8.3 KiB     0.1%
3.9custom/dojox/mobile/themes/holodark/TabBar.css                                                      8.0 KiB     0.1%
3.9custom/dojox/mobile/themes/blackberry/TabBar.css                                                    7.8 KiB     0.1%
3.9custom/dojox/mobile/themes/android/TabBar.css                                                       7.7 KiB     0.1%
3.9custom/dojox/mobile/themes/custom/TabBar.css                                                        7.6 KiB     0.1%
3.9custom/dijit/icons/images/commonIconsObjActEnabled.png                                              7.6 KiB     0.1%
3.9custom/dijit/themes/soria/layout/TabContainer.css                                                   7.6 KiB     0.1%
3.9custom/dijit/icons/images/commonIconsObjActEnabled_rtl.png                                          7.6 KiB     0.1%
3.9custom/dijit/themes/claro/form/Common.less                                                          7.6 KiB     0.1%
3.9custom/esri/dijit/css/Popup.css                                                                     7.4 KiB     0.1%
3.9custom/dojox/mobile/themes/windows/DatePicker.css                                                   7.4 KiB     0.1%
3.9custom/dojox/mobile/themes/windows/TimePicker.css                                                   7.4 KiB     0.1%
3.9custom/dojox/mobile/themes/common/domButtons-compat.css                                             7.4 KiB     0.1%
3.9custom/dojox/mobile/themes/custom/IconContainer.css                                                 7.3 KiB     0.1%
3.9custom/dojox/drawing/resources/images/tool_sprites.png                                              7.3 KiB     0.1%
3.9custom/dojox/mobile/themes/holodark/IconContainer.css                                               7.3 KiB     0.1%
3.9custom/dojox/mobile/themes/android/IconContainer.css                                                7.3 KiB     0.1%
3.9custom/dojox/mobile/themes/blackberry/IconContainer.css                                             7.2 KiB     0.1%
3.9custom/dojox/mobile/themes/iphone/IconContainer.css                                                 7.2 KiB     0.1%
3.9custom/esri/dijit/geoenrichment/themes/common/Wizard.css                                            7.2 KiB     0.1%
3.9custom/dojox/grid/resources/Grid.css                                                                7.1 KiB     0.1%
3.9custom/dojox/mobile/themes/windows/TabBar.css                                                       7.1 KiB     0.1%
3.9custom/dijit/themes/claro/Toolbar.css                                                               7.1 KiB     0.1%
3.9custom/dojox/drawing/resources/images/tool_icons.png                                                7.0 KiB     0.1%
3.9custom/dijit/themes/nihilo/images/progressBarAnim.gif                                               6.9 KiB     0.1%
3.9custom/dojox/av/resources/audio.swf                                                                 6.8 KiB     0.1%
3.9custom/dojox/form/resources/CheckedMultiSelect.css                                                  6.8 KiB     0.1%
3.9custom/esri/dijit/css/PopupMobile.css                                                               6.8 KiB     0.1%
3.9custom/dijit/themes/claro/Calendar.css                                                              6.6 KiB     0.1%
3.9custom/dojox/grid/enhanced/resources/EnhancedGrid_rtl.css                                           6.6 KiB     0.1%
3.9custom/dojox/image/resources/image.css                                                              6.5 KiB     0.1%
3.9custom/dojox/mobile/themes/custom/custom_rtl.css                                                    6.5 KiB     0.1%
3.9custom/dojox/mobile/themes/android/android_rtl.css                                                  6.5 KiB     0.1%
3.9custom/dojox/mobile/themes/holodark/holodark_rtl.css                                                6.5 KiB     0.1%
